titulo	slug	entidad_origen	codigo_origen	categoria	direccion	cp	poblacion	descripcion	telefono	fax	url	foto	latitud	longitud	foto_x	foto_x_titulo	foto_x_alt	itinerarios	acces_fisica	acces_visual	acces_auditiva	acces_intelectual	acces_organica	imagen_titulo	imagen_alt	tipo_biblio	año_inicio	institucion	tipo_institucion	codigo_portal	horarios	tipo_acceso	tipo_centro	tematica	servicios	snbe	snbe_url	bilgunea	bilgunea_url	bilgunea_fecha	acess_itinerario	acces_url_ficha	
La Quadra		Consultrans	0203QUAD	estacion-tren	C/ Lacabex Lexarreta	48820	Güeñes	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Zona de gran tráfico de vehículos. El itinerario peatonal discurre por una acera estrecha no protegida. Acceso inseguro. El tramo de escaleras y la rampa no están acondicionados. Escasa maniobrabilidad debido a la estrechez de la acera.	http://argitalpen.ararteko.net/ac_v/PDF/97_laquadra.pdf	
Sodupe		Consultrans	0203SODU	estacion-tren	C/ Urrestieta	48830	Güeñes	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías y Regionales.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		El entorno peatonal discurre paralelo a una calzada de intenso tráfico. Inseguro. Hay una pequeña rampa para acceder desde la calle al vestíbulo. No está acondicionada pero resulta funcional.	http://argitalpen.ararteko.net/ac_v/PDF/98_sodupe.pdf	
Artxube		Consultrans	0203ARTX	estacion-tren	C/ Artxube	48840	Güeñes	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Zona de gran tráfico de vehículos. El itienerario peatonal discurre por una acera estrecha no protegida. Acceso inseguro. Hay rampas no acondicionadas de fuerte pendiente.	http://argitalpen.ararteko.net/ac_v/PDF/99_artxube.pdf	
Lámbarri		Consultrans	0203LAMB	estacion-tren	C/ Lambarri	48840	Güeñes	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		El itinerario peatonal discurre por una calzada sin acera y en una zona de gran tráfico de vehículos. Hay rampas no acondicionadas de fuerte pendiente.	http://argitalpen.ararteko.net/ac_v/PDF/100_lambarri.pdf	
Güeñes		Consultrans	0203GÜEÑ	estacion-tren	C/ Ondazarros	48840	Güeñes	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías.			http://www.feve.es/								Practicable	Practicable	Practicable	Sin datos	Sin datos																		La rampa de acceso, aunque no está acondicionada, resulta bastante funcional. La puerta de acceso debe tener las dos hojas abiertas para garantizar el acceso al usuario PMR.	http://argitalpen.ararteko.net/ac_v/PDF/101_guenes.pdf	
Aranguren Estación		Consultrans	0203ARAN	estacion-tren	Barrio de Aranguren s/n	48860	Zalla	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías y Regionales.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Estación ubicada en un entorno industrial. El acceso peatonal está penalizado ya que se accede por la trasera de La Papelera en un recorrido que cabría realizarlo en coche.	http://argitalpen.ararteko.net/ac_v/PDF/102_araguren.pdf	
Aranguren Apeadero		Consultrans	0203ARAP	estacion-tren	Trenbide Etorbidea	48860	Zalla	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías y Regionales.			http://www.feve.es/								Practicable	Practicable	Practicable	Sin datos	Sin datos																		El itinerario peatonal obliga a atravesar un paso a nivel sin acera de protección. Inseguro. Se accede a través de rampa de pendiente pronunciada, pero que puede resultar practicable.	http://argitalpen.ararteko.net/ac_v/PDF/103_apeadero_aranguren.pdf	
Zalla		Consultrans	0203ZALL	estacion-tren	Trenbide Etorbidea	48860	Zalla	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías y Regionales.			http://www.feve.es/								Practicable	Practicable	Practicable	Sin datos	Sin datos																		El acceso principal está a nivel. El acceso secundario se realiza a través de una rampa acondicionada. 	http://argitalpen.ararteko.net/ac_v/PDF/104_zalla.pdf	
Colegio		Consultrans	0203COLE	estacion-tren	Lehendakari Agirre Etorbidea	48860	Zalla	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías.			http://www.feve.es/								Practicable	Inaccesible	Practicable	Sin datos	Sin datos																		Se accede a través de una rampa que resulta practicable.	http://argitalpen.ararteko.net/ac_v/PDF/105_apeadero_colegio.pdf	
Ibarra		Consultrans	0203IBAR	estacion-tren	Ibarra Auzoa	48860	Zalla	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		El entorno peatonal se sitúa en una zona de intenso tráfico, con un recorrido peligroso que atraviesa un paso a nivel. Se accede a través de una rampa practicable, pero con un pequeño resalte en el acceso.	http://argitalpen.ararteko.net/ac_v/PDF/106_apeadero_ibarra.pdf	
La Herrera		Consultrans	0203HERR	estacion-tren	Barrio de Basualdo	48869	Zalla	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías.			http://www.feve.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		El entorno peatonal se integra en una zona de tráfico intenso, sin acera y con recorrido peligroso. Se accede a través de una rampa muy pronunciada, completamente impracticable.	http://argitalpen.ararteko.net/ac_v/PDF/107_apeadero_laherrera.pdf	
Balmaseda		Consultrans	0203BALM	estacion-tren	C/ Estación	48800	Balmaseda	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías y Regionales.			http://www.feve.es/								Inaccesible	Practicable	Practicable	Sin datos	Sin datos																		El itinerario peatonal de acceso discurre junto a una carretera de intenso tráfico, donde las aceras no están rebajadas, y no garantizan un recorrido continuo. Otro de los accesos exige atravesar un paso a nivel. 	http://argitalpen.ararteko.net/ac_v/PDF/108_labalsameda.pdf	
La Calzada		Consultrans	0203CALZ	estacion-tren	C/ Calzada	48800	Balmaseda	Línea de FEVE entre Bilbao y Balmaseda. Presta servicios de Cercanías.			http://www.feve.es/								Practicable	Practicable	Practicable	Sin datos	Sin datos																		El entorno se encuentra en obras, lo que condiciona el tránsito peatonal exterior. Situación provisional. 	http://argitalpen.ararteko.net/ac_v/PDF/109_lacalzada.pdf	
Traslaviña		Consultrans	0203TRAS	estacion-tren	Barrio Travesedo	48879	Artzentales	Línea de FEVE entre Bilbao y Santander. Presta servicios Regionales.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Se accede por una senda que exige el desplazamiento en coche. Itinerario peatonal impracticable. El acceso al andén se efectúa por una entrada alternativa al edificio.	http://argitalpen.ararteko.net/ac_v/PDF/110_traslavina.pdf	
Arcentales		Consultrans	0203ARCE	estacion-tren	Arcentales	48879	Artzentales	Línea de FEVE entre Bilbao y Santander. Presta servicios Regionales.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Se accede por una senda impracticable para peatones. Acceso en coche. El acceso al andén se realiza a través de una rampa funcional.	http://argitalpen.ararteko.net/ac_v/PDF/111_artzentales.pdf	
Villaverde de Trucíos		Consultrans	0503TRUC	estacion-tren	Valle de Villaverde	39880	Villaverde de Trucíos	Línea de FEVE entre Bilbao y Santander. Presta servicios Regionales.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Se accede por una senda impracticable para peatones. Acceso en coche. Pavimento en mal estado y rampa de acceso no acondicionada.	http://argitalpen.ararteko.net/ac_v/PDF/112_villaverdetrucios.pdf	
Carranza		Consultrans	0203CARR	estacion-tren	Barrio de Ambasaguas	48890	Valle de Carranza	Línea de FEVE entre Bilbao y Santander. Presta servicios Regionales.			http://www.feve.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Se accede por un lateral de la estación a través de una rampa poco practicable. 	http://argitalpen.ararteko.net/ac_v/PDF/113_carranza.pdf	
Irún		Consultrans	0301IRUN	estacion-tren	C/ Estación, S/N	20301	Irún	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías, Regionales e Internacionales.			http://www.adif.es/								Practicable	Accesible	Accesible	Sin datos	Sin datos																		El acceso desde la Plaza Txanaleta está a diferente cota (escaleras mecánicas). El acceso desde la C/Estación está a nivel.	http://argitalpen.ararteko.net/ac_v/PDF/01_irun.pdf	
Ventas de Irún		Consultrans	0301VENT	estacion-tren	C/ Andrearriaga Ibilbidea, S/N	20305	Irún	Línea C-1 de RENFE, entre Irún y Brínkola.  Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Existencia de una pronunciada pendiente para el acceso.	http://argitalpen.ararteko.net/ac_v/PDF/02_bentak.pdf	
Lezo-Renteria		Consultrans	0301LEZO	estacion-tren	Avenida Jaizkibel, 1	20100	Lezo	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías y Regionales.			http://www.adif.es/								Inaccesible	Practicable	Practicable	Sin datos	Sin datos																		El acceso está a nivel respecto de la calle. 	http://argitalpen.ararteko.net/ac_v/PDF/03_lezo_ren.pdf	
Pasaia		Consultrans	0301PASA	estacion-tren	Avenida de Navarra, S/N	20110	Pasaia	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías y Regionales.			http://www.adif.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Se ha habilitado una rampa que permite disponer de una alternativa respecto al tramo de escaleras.	http://argitalpen.ararteko.net/ac_v/PDF/04_pasaia.pdf	
Herrera		Consultrans	0301HERR	estacion-tren	Paseo de Herrera, 3	20017	San Sebastián	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Se accede vía escaleras. Calle con elevado tráfico y pendiente pronunciada.	http://argitalpen.ararteko.net/ac_v/PDF/05_herrera.pdf	
Intxaurrondo		Consultrans	0301 INTX	estacion-tren	Paseo de Zubiaurre	20017	San Sebastián	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Accesible	Practicable	Sin datos	Sin datos																		Estación nueva	http://argitalpen.ararteko.net/ac_v/PDF/ADIF_Intxaurrondo.pdf	
Ategorrieta		Consultrans	0301ATEG	estacion-tren	C/ Ataritzar, 26	20013	San Sebastián	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Tramo de escaleras. Existe una rampa del todo inadecuada.	http://argitalpen.ararteko.net/ac_v/PDF/06_ategorrieta.pdf	
Gros		Consultrans	0301GROS	estacion-tren	C/ Misericordia, 7	20001	San Sebastián	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Practicable	Practicable	Sin datos	Sin datos																		Itinerario exterior adaptado. Acceso a nivel.	http://argitalpen.ararteko.net/ac_v/PDF/07_gros.pdf	
Donostia-San Sebastián		Consultrans	0301DONO	estacion-tren	Paseo Francia, S/N	20012	San Sebastián	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías, Regionales e Internacionales.			http://www.adif.es/								Practicable	Accesible	Accesible	Sin datos	Sin datos																		Itinerario exterior adaptado. Acceso a nivel.	http://argitalpen.ararteko.net/ac_v/PDF/08_san_seb.pdf	
Loiola		Consultrans	0301LOIO	estacion-tren	Camino Hípica, 3	20014	San Sebastián	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Se trata de un acceso exterior complicado, a través de una zona con gran densidad de tráfico en la que los itinerarios peatonales no garantizan la seguridad del individuo, ni la funcionalidad del desplazamiento.	http://argitalpen.ararteko.net/ac_v/PDF/09_loiola.pdf	
Martutene		Consultrans	0301MART	estacion-tren	Camino Hípica, 105	20014	San Sebastián	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Zona de elevado tráfico. Inseguridad. Se accede mediante escaleras. T	http://argitalpen.ararteko.net/ac_v/PDF/10_martutene.pdf	
Hernani		Consultrans	0301HERN	estacion-tren	C/ Florida Auzoa, 112	20120	Hernani	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Dispone de rampas de pendiente adecuada y anchura suficiente.	http://argitalpen.ararteko.net/ac_v/PDF/11_hernani.pdf	
Hernani Centro/Erdia		Consultrans	0301HCEN	estacion-tren	Carabel-txiki Baserria, 90	20120	Hernani	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Hay 2 accesos. Uno mediante escaleras (inaccesible) y otro vía itinerario peatonal accesible.	http://argitalpen.ararteko.net/ac_v/PDF/12_hernani_centro.pdf	
Urnieta		Consultrans	0301URNI	estacion-tren	C/ Estación, 5	20130	Urnieta	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible 	Practicable	Practicable	Sin datos	Sin datos																		Hay 2 accesos. Uno mediante un camino de tierra y con pendiente elevada, y el otro más tendido pero desde la carretera. 	http://argitalpen.ararteko.net/ac_v/PDF/13_urnieta.pdf	
Andoain		Consultrans	0301ANDO	estacion-tren	Geltoki Auzoa, S/N	20140	Andoain	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Estación con 2 accesos. El acceso peatonal a nivel se produce a través de un recorrido deficiente. El otro acceso se produce vía rampa no adaptada.	http://argitalpen.ararteko.net/ac_v/PDF/14_andoain.pdf	
Andoain Centro/Erdia		Consultrans	0301ACEN	estacion-tren	Joakin Larreta Atzekaldea, S/N	20140	Andoain	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		El acceso se materializa a través de rampas no adaptadas.	http://argitalpen.ararteko.net/ac_v/PDF/15_andoain_centro.pdf	
Billabona-Zizurkil		Consultrans	0301BILL	estacion-tren	Aurrera Enparantza, 5	20150	Zizurkil	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	inaccesible	Sin datos	Sin datos																		Existen 2 accesos. Uno, vía itinerario adaptado. Otro, vía rampa de pendiente muy pronunciada tras una acera estrecha, y en zona de elevado tráfico.	http://argitalpen.ararteko.net/ac_v/PDF/16_billabona.pdf	
Anoeta		Consultrans	0301ANOE	estacion-tren	Apeadero Aldea, S/N	20270	Anoeta	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Hay 2 accesos. Uno, mediante escaleras, y el otro, por una calle de pendiente elevada.	http://argitalpen.ararteko.net/ac_v/PDF/17_anoeta.pdf	
Tolosa Centro/Erdia		Consultrans	0301TCEN	estacion-tren	C/ Pablo Gorosabel, S/N	20400	Tolosa	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Practicable	Sin datos	Sin datos																		Tramo de escaleras sin alternativa.	http://argitalpen.ararteko.net/ac_v/PDF/18_tolosa_centro.pdf	
Tolosa  		Consultrans	0301TOLO	estacion-tren	C/ Geltoki, 4	20400	Tolosa	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías y Regionales.			http://www.adif.es/								Inaccesible	Practicable	Accesible	Sin datos	Sin datos																		Itinerario exterior acondicionado. Dispone de rampas de pendiente adecuada y anchura suficiente.	http://argitalpen.ararteko.net/ac_v/PDF/19_tolosa.pdf	
Alegia		Consultrans	0301ALEG	estacion-tren	Bideberrieta, S/N	20260	Alegia	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Rampa de acceso de gran pendiente.	http://argitalpen.ararteko.net/ac_v/PDF/20_alegia.pdf	
Ikaztegieta		Consultrans	0301IKAZ	estacion-tren	C/ San Lorentzo, S/N	20267	Ikaztegieta	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Itinerario de acceso resbaladizo, sin acera y en pendiente. Solo existe rampa en el andén sentido Donostia. 	http://argitalpen.ararteko.net/ac_v/PDF/21_ikasteguieta.pdf	
Legorreta		Consultrans	0301LEGO	estacion-tren	San Miguel Etxea, 10	20250	Legorreta	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Cuenta con 2 accesos: uno a nivel, aunque con pavimento deficiente, y el otro, a través de escaleras.	http://argitalpen.ararteko.net/ac_v/PDF/22_legorreta.pdf	
Itsasondo		Consultrans	0301ITSA	estacion-tren	Geltokiko Bidea, 3	20249	Itsasondo	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Acceso por tramo no acondicionado (sin acera). Itinerario con demasiada pendiente.	http://argitalpen.ararteko.net/ac_v/PDF/23_itxasondo.pdf	
Ordizia		Consultrans	0301ORDI	estacion-tren	C/ Ordizia, S/N	20240	Ordizia	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías y Regionales.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		El acceso al edificio cuenta con un obstáculo en forma de escalón. No hay rampa alternativa.	http://argitalpen.ararteko.net/ac_v/PDF/24_ordizia.pdf	
Beasain		Consultrans	0301BEAS	estacion-tren	Barrendain Enparantza, 1	20200	Beasain	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías y Regionales.			http://www.adif.es/								Inaccesible	Practicable	Practicable	Sin datos	Sin datos																		Itinerario exterior acondicionado. 	http://argitalpen.ararteko.net/ac_v/PDF/25_beasain.pdf	
Ormaiztegi		Consultrans	0301ORMA	estacion-tren	Ormaiztegi Sakabanatua, 23	20216	Ormaiztegi	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Mucha pendiente desde el centro del pueblo.	http://argitalpen.ararteko.net/ac_v/PDF/26_ormaiztegui.pdf	 
Zumarraga		Consultrans	0301ZUMA	estacion-tren	C/ Secundino Esnaola, S/N	20700	Zumarraga	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías y Regionales.			http://www.adif.es/								Inaccesible 	Practicable	Practicable	Sin datos	Sin datos																		Acceso deficiente al encontrarse la zona en obras para la construcción de la nueva intermodal. Situación provisional. 	http://argitalpen.ararteko.net/ac_v/PDF/27_zumarraga.pdf	
Legazpi		Consultrans	0301LEGA	estacion-tren	Geltoki Hiribidea, S/N	20230	Legazpi	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías y Regionales.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Para acceder hay que ir por la carretera en el último tramo. Rampa con mucha pendiente y sin barandillas.	http://argitalpen.ararteko.net/ac_v/PDF/30_legazpi.pdf	
Brinkola		Consultrans	0301BRIN	estacion-tren	Brinkola Auzoa, S/N	20220	Legazpi	Línea C-1 de RENFE, entre Irún y Brínkola. Presta servicios de Cercanías.			http://www.adif.es/								Inaccesible	Inaccesible	Inaccesible	Sin datos	Sin datos																		Hay rampa para acceder al andén, pero al llegar al final de esta hay un escalón.	http://argitalpen.ararteko.net/ac_v/PDF/31_brinkola.pdf	
Amorebieta		Consultrans	0202AMOR	estacion-tren	C/ Sabino Arana, 42 bajo	48340	Amorebieta	Línea L1 de EuskoTren, entre Atxuri Bilbao y Amara-Donostia. Presta servicios Regionales.			http://www.ets-rfv.euskadi.net/								Practicable	Practicable	Practicable	Sin datos	Sin datos																		Existe una rampa de gran longitud y pendiente, que puede resultar practicable según condiciones. 	http://argitalpen.ararteko.net/ac_v/PDF/122_amorebieta.pdf	
Euba		Consultrans	0202EUBA	estacion-tren	Barrio de Euba, 20	48290	Amorebieta	Línea L1 de EuskoTren, entre Atxuri Bilbao y Amara-Donostia. Presta servicios Regionales.			http://www.ets-rfv.euskadi.net/								Practicable	Accesible	Accesible	Sin datos	Sin datos																		Itinerario adaptado. 	http://argitalpen.ararteko.net/ac_v/PDF/123_euba_amorebieta.pdf	
